Product ID,Name,Model,Description,Price,Tax Class,Categories
9348,SENCAN LED FILAMENT RUSTIK AMPUL SNC-228,SNC-228,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"650,000",KDV (%18),
9349,SENCAN LED FILAMENT RUSTIK AMPUL SNC-1923/1,SNC-1923/1,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),"108, 109"
9350,SENCAN LED FILAMENT RUSTIK AMPUL SNC-1923/2,SNC-1923/2,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),"108, 109"
9351,SENCAN LED FILAMENT RUSTIK AMPUL SNC-1453-1,SNC-1453-1,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9352,SENCAN LED AYDINLATMA SNC-1453/2,SNC-1453/2,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,0.0000,KDV (%18),109
9353,SENCAN LED AYDINLATMA SNC-2015/8,SNC-2015/8,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9354,SENCAN LED AYDINLATMA SNC-2019/3,SNC-2019/3,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9355,SENCAN LED AYDINLATMA SNC-1881/1,SNC-1881/1,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9356,SENCAN LED AYDINLATMA SNC-1881/2,SNC-1881/2,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9358,SENCAN LED AYDINLATMA SNC-1922/2,SNC-1922/2,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9359,SENCAN LED AYDINLATMA SNC-72,SNC-72,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"560,000",KDV (%18),109
9360,SENCAN LED AYDINLATMA SNC-73,SNC-73,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"560,000",KDV (%18),109
9361,SENCAN LED AYDINLATMA SNC-226,SNC-226,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"1,000,000",KDV (%18),109
9362,SENCAN LED AYDINLATMA SNC-227,SNC-227,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"1,000,000",KDV (%18),109
9363,SENCAN LED AYDINLATMA SNC-21,SNC-21,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"540,000",KDV (%18),109
9364,SENCAN LED AYDINLATMA SNC-22,SNC-22,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"540,000",KDV (%18),109
9365,SENCAN LED AYDINLATMA SNC-296,SNC-296,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"275,000",KDV (%18),109
9366,SENCAN LED AYDINLATMA SNC-297,SNC-297,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"275,000",KDV (%18),109
9367,SENCAN LED AYDINLATMA SNC-298,SNC-298,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"560,000",KDV (%18),109
9368,SENCAN LED AYDINLATMA SNC-299,SNC-299,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"560,000",KDV (%18),109
9369,SENCAN LED AYDINLATMA SNC-300,SNC-300,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"560,000",KDV (%18),109
9370,SENCAN LED AYDINLATMA SNC-301,SNC-301,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"560,000",KDV (%18),109
9371,SENCAN LED AYDINLATMA SNC-302,SNC-302,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"450,000",KDV (%18),109
9372,SENCAN LED AYDINLATMA SNC-303,SNC-303,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"450,000",KDV (%18),109
9373,SENCAN LED AYDINLATMA SNC-01,SNC-01,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"85,000",KDV (%18),109
9374,SENCAN LED AYDINLATMA SNC-02,SNC-02,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"90,000",KDV (%18),109
9375,SENCAN LED AYDINLATMA SNC-000,SNC-000,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,0.0000,KDV (%18),
9376,SENCAN TRAFO SNC-9376,SNC-9376,60W,"43,000",KDV (%18),77
9377,SENCAN TRAFO SNC-9377,SNC-9377,105W,"48,000",KDV (%18),77
9378,SENCAN TRAFO SNC-9378,SNC-9378,120W,"86,000",KDV (%18),77
9379,SENCAN TRAFO SNC-9379,SNC-9379,160W,"122,500",KDV (%18),77
9380,SENCAN TRAFO SNC-9380,SNC-9380,200W,"134,000",KDV (%18),77
9381,SENCAN TRAFO SNC-9381,SNC-9381,250W,"165,000",KDV (%18),77
9382,SENCAN TRAFO SNC-9382,SNC-9382,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"26,000",KDV (%18),77
9383,SENCAN LED AYDINLATMA SNC-1922/1,SNC-1922/1,ÜRÜN AÇIKLAMASI YAKINDA EKLENECEKTIR,"660,000",KDV (%18),109
9385,SENCAN IC MEKAN YILBASI LEDI SNC-201,SNC-201,SNC-201 UZUNLUK 100 MT LED 100 LED,"110,000",KDV (%18),154
